Round,Team,Player,Type,X,Y
2,Slater,20,Open 20,-103.09,-0.66
2,Carr,,Open 20,-60.00,1.89
2,Slater,Leave,Converted 20,-59.82,-1.57
2,Carr,,Converted 20,-63.09,-2.47
2,Slater,20,Converted 20,-102.18,2.07
2,Carr,20,Open 20,-101.64,6.25
2,Slater,Peel,Takeout,-81.82,-38.47
2,Carr,20,Open 20,-102.91,-4.47
2,Slater,,Open 20,-57.09,-4.47
2,Carr,Leave,Converted 20,-60.18,-5.38
2,Slater,,Converted 20,-57.45,1.53
2,Carr,,Takeout,-62.91,10.98
2,Slater,Double takeout,Takeout,-48.73,5.89
2,Carr,,Takeout,-54.55,10.25
2,Slater, ,Converted 20,-55.27,6.98
2,Carr, ,Takeout,-53.45,2.80
